"","Station","Year","GRID","TOT","easting","northing"
"234","BH31",2013,3,5,578270.386374185,2834335.15105916
"235","BH31",2014,1,5,578214.886374185,2834431.27987898
"236","BH31",2014,2,5,578239.886374185,2834387.97860879
"237","BH31",2014,3,3,578270.386374185,2834335.15105916
"238","BH31",2017,1,4,578214.886374185,2834431.27987898
"239","BH31",2017,2,4,578239.886374185,2834387.97860879
"240","BH31",2017,3,4,578270.386374185,2834335.15105916
"241","BH31",2018,1,4,578214.886374185,2834431.27987898
"242","BH31",2018,2,4,578239.886374185,2834387.97860879
"243","BH31",2018,3,3,578270.386374185,2834335.15105916
"244","BH31",2019,1,4,578214.886374185,2834431.27987898
"245","BH31",2019,2,3,578239.886374185,2834387.97860879
"246","BH31",2019,3,4,578270.386374185,2834335.15105916
"247","BH31",2020,1,3,578214.886374185,2834431.27987898
"248","BH31",2020,2,2,578239.886374185,2834387.97860879
"249","BH31",2020,3,4,578270.386374185,2834335.15105916
"250","BH31",2021,1,5,578214.886374185,2834431.27987898
"251","BH31",2021,2,4,578239.886374185,2834387.97860879
"252","BH31",2021,3,4,578270.386374185,2834335.15105916
"253","BH31",2022,1,4,578214.886374185,2834431.27987898
"254","BH31",2022,2,4,578239.886374185,2834387.97860879
"255","BH31",2022,3,4,578270.386374185,2834335.15105916
"256","BH31",2023,1,5,578214.886374185,2834431.27987898
"257","BH31",2023,2,3,578239.886374185,2834387.97860879
"258","BH31",2023,3,4,578270.386374185,2834335.15105916
"259","BH34",2009,1,5,574270.566870065,2837392.27692491
"260","BH34",2009,2,5,574270.566870065,2837422.27692491
"261","BH34",2009,3,5,574270.566870065,2837503.27692491
"262","BH34",2010,1,5,574270.566870065,2837392.27692491
"263","BH34",2010,2,5,574270.566870065,2837422.27692491
"264","BH34",2010,3,5,574270.566870065,2837503.27692491
"265","BH34",2011,1,5,574270.566870065,2837392.27692491
"266","BH34",2011,2,5,574270.566870065,2837422.27692491
"267","BH34",2011,3,5,574270.566870065,2837503.27692491
"268","BH34",2012,1,1,574270.566870065,2837392.27692491
"269","BH34",2012,2,2,574270.566870065,2837422.27692491
"270","BH34",2012,3,2,574270.566870065,2837503.27692491
"271","BH34",2013,1,2,574270.566870065,2837392.27692491
"272","BH34",2013,2,3,574270.566870065,2837422.27692491
"273","BH34",2013,3,4,574270.566870065,2837503.27692491
"274","BH34",2014,1,1,574270.566870065,2837392.27692491
"275","BH34",2014,2,1,574270.566870065,2837422.27692491
"276","BH34",2014,3,1,574270.566870065,2837503.27692491
"277","BH34",2015,1,3,574270.566870065,2837392.27692491
"278","BH34",2015,2,4,574270.566870065,2837422.27692491
"279","BH34",2015,3,3,574270.566870065,2837503.27692491
"280","BH34",2016,1,0.5,574270.566870065,2837392.27692491
"281","BH34",2016,2,1,574270.566870065,2837422.27692491
"282","BH34",2016,3,2,574270.566870065,2837503.27692491
"283","BH34",2017,1,2,574270.566870065,2837392.27692491
"284","BH34",2017,2,3,574270.566870065,2837422.27692491
"285","BH34",2017,3,2,574270.566870065,2837503.27692491
"286","BH34",2018,1,1,574270.566870065,2837392.27692491
"287","BH34",2018,2,0.5,574270.566870065,2837422.27692491
"288","BH34",2018,3,2,574270.566870065,2837503.27692491
"289","BH34",2019,1,1,574270.566870065,2837392.27692491
"290","BH34",2019,2,1,574270.566870065,2837422.27692491
"291","BH34",2019,3,1,574270.566870065,2837503.27692491
"292","BH34",2020,1,2,574270.566870065,2837392.27692491
"293","BH34",2020,2,2,574270.566870065,2837422.27692491
"294","BH34",2020,3,1,574270.566870065,2837503.27692491
"295","BH34",2021,1,2,574270.566870065,2837392.27692491
"296","BH34",2021,2,1,574270.566870065,2837422.27692491
"297","BH34",2021,3,2,574270.566870065,2837503.27692491
"298","BH34",2022,1,3,574270.566870065,2837392.27692491
"299","BH34",2022,2,3,574270.566870065,2837422.27692491
"300","BH34",2022,3,2,574270.566870065,2837503.27692491
"301","BH34",2023,1,2,574270.566870065,2837392.27692491
"302","BH34",2023,2,2,574270.566870065,2837422.27692491
"303","BH34",2023,3,2,574270.566870065,2837503.27692491
"304","BH35",2009,1,5,582980.910996154,2835640.52832271
"305","BH35",2009,2,5,583045.862901437,2835678.02832271
"306","BH35",2009,3,5,583108.21673051,2835714.02832271
"307","BH35",2010,1,5,582980.910996154,2835640.52832271
"308","BH35",2010,2,4,583045.862901437,2835678.02832271
"309","BH35",2010,3,4,583108.21673051,2835714.02832271
"310","BH35",2011,1,5,582980.910996154,2835640.52832271
"311","BH35",2011,2,5,583045.862901437,2835678.02832271
"312","BH35",2011,3,4,583108.21673051,2835714.02832271
"313","BH35",2012,1,5,582980.910996154,2835640.52832271
"314","BH35",2012,2,5,583045.862901437,2835678.02832271
"315","BH35",2012,3,5,583108.21673051,2835714.02832271
"316","BH35",2013,1,5,582980.910996154,2835640.52832271
"317","BH35",2013,2,5,583045.862901437,2835678.02832271
"318","BH35",2013,3,5,583108.21673051,2835714.02832271
"319","BH35",2014,1,5,582980.910996154,2835640.52832271
"320","BH35",2014,2,5,583045.862901437,2835678.02832271
"321","BH35",2014,3,5,583108.21673051,2835714.02832271
"322","BH35",2017,1,5,582980.910996154,2835640.52832271
"323","BH35",2017,2,5,583045.862901437,2835678.02832271
"324","BH35",2017,3,5,583108.21673051,2835714.02832271
"325","BH35",2018,1,5,582980.910996154,2835640.52832271
"326","BH35",2018,2,4,583045.862901437,2835678.02832271
"327","BH35",2018,3,5,583108.21673051,2835714.02832271
"328","BH35",2019,1,5,582980.910996154,2835640.52832271
"329","BH35",2019,2,5,583045.862901437,2835678.02832271
"330","BH35",2019,3,5,583108.21673051,2835714.02832271
"331","BH35",2020,1,5,582980.910996154,2835640.52832271
"332","BH35",2020,2,5,583045.862901437,2835678.02832271
"333","BH35",2020,3,5,583108.21673051,2835714.02832271
"334","BH35",2021,1,5,582980.910996154,2835640.52832271
"335","BH35",2021,2,5,583045.862901437,2835678.02832271
"336","BH35",2021,3,5,583108.21673051,2835714.02832271
"337","BH35",2022,1,5,582980.910996154,2835640.52832271
"338","BH35",2022,2,5,583045.862901437,2835678.02832271
"339","BH35",2022,3,5,583108.21673051,2835714.02832271
"340","BH35",2023,1,5,582980.910996154,2835640.52832271
"341","BH35",2023,2,5,583045.862901437,2835678.02832271
"342","BH35",2023,3,5,583108.21673051,2835714.02832271
"343","BH36",2009,1,2,576705.588229444,2831579.64458178
"344","BH36",2009,2,3,576732.588229444,2831532.87920998
"345","BH36",2009,3,3,576759.088229444,2831486.97986357
"346","BH36",2010,1,1,576705.588229444,2831579.64458178
"347","BH36",2010,2,2,576732.588229444,2831532.87920998
"348","BH36",2010,3,3,576759.088229444,2831486.97986357
"349","BH36",2011,1,3,576705.588229444,2831579.64458178
"350","BH36",2011,2,2,576732.588229444,2831532.87920998
"351","BH36",2011,3,2,576759.088229444,2831486.97986357
"352","BH36",2012,1,3,576705.588229444,2831579.64458178
"353","BH36",2012,2,3,576732.588229444,2831532.87920998
"354","BH36",2012,3,3,576759.088229444,2831486.97986357
"355","BH36",2013,1,4,576705.588229444,2831579.64458178
"356","BH36",2013,2,3,576732.588229444,2831532.87920998
"357","BH36",2013,3,3,576759.088229444,2831486.97986357
"358","BH36",2014,1,3,576705.588229444,2831579.64458178
"359","BH36",2014,2,4,576732.588229444,2831532.87920998
"360","BH36",2014,3,4,576759.088229444,2831486.97986357
"361","BH36",2017,1,1,576705.588229444,2831579.64458178
"362","BH36",2017,2,2,576732.588229444,2831532.87920998
"363","BH36",2017,3,2,576759.088229444,2831486.97986357
"364","BH36",2018,1,3,576705.588229444,2831579.64458178
"365","BH36",2018,2,4,576732.588229444,2831532.87920998
"366","BH36",2018,3,3,576759.088229444,2831486.97986357
"367","BH36",2019,1,0,576705.588229444,2831579.64458178
"368","BH36",2019,2,1,576732.588229444,2831532.87920998
"369","BH36",2019,3,3,576759.088229444,2831486.97986357
"370","BH36",2020,1,2,576705.588229444,2831579.64458178
"371","BH36",2020,2,2,576732.588229444,2831532.87920998
"372","BH36",2020,3,2,576759.088229444,2831486.97986357
"373","BH36",2021,1,4,576705.588229444,2831579.64458178
"374","BH36",2021,2,3,576732.588229444,2831532.87920998
"375","BH36",2021,3,3,576759.088229444,2831486.97986357
"376","BH36",2022,1,2,576705.588229444,2831579.64458178
"377","BH36",2022,2,2,576732.588229444,2831532.87920998
"378","BH36",2022,3,3,576759.088229444,2831486.97986357
"379","BH36",2023,1,2,576705.588229444,2831579.64458178
"380","BH36",2023,2,2,576732.588229444,2831532.87920998
"381","BH36",2023,3,2,576759.088229444,2831486.97986357
"382","BH37",2009,1,5,580890.375699398,2828177.70164555
"383","BH37",2009,2,5,580820.829039905,2828196.3366168
"384","BH37",2009,3,4,580762.873490327,2828211.8657595
"385","BH37",2010,1,4,580890.375699398,2828177.70164555
"386","BH37",2010,2,4,580820.829039905,2828196.3366168
"387","BH37",2010,3,5,580762.873490327,2828211.8657595
"388","BH37",2011,1,4,580890.375699398,2828177.70164555
"389","BH37",2011,2,4,580820.829039905,2828196.3366168
"390","BH37",2011,3,3,580762.873490327,2828211.8657595
"391","BH37",2012,1,5,580890.375699398,2828177.70164555
"392","BH37",2012,2,4,580820.829039905,2828196.3366168
"393","BH37",2012,3,5,580762.873490327,2828211.8657595
"394","BH37",2013,1,5,580890.375699398,2828177.70164555
"395","BH37",2013,2,5,580820.829039905,2828196.3366168
"396","BH37",2013,3,5,580762.873490327,2828211.8657595
"397","BH37",2014,1,3,580890.375699398,2828177.70164555
"398","BH37",2014,2,3,580820.829039905,2828196.3366168
"399","BH37",2014,3,5,580762.873490327,2828211.8657595
"400","BH37",2017,1,5,580890.375699398,2828177.70164555
"401","BH37",2017,2,5,580820.829039905,2828196.3366168
"402","BH37",2017,3,5,580762.873490327,2828211.8657595
"403","BH37",2018,1,5,580890.375699398,2828177.70164555
"404","BH37",2018,2,5,580820.829039905,2828196.3366168
"405","BH37",2018,3,5,580762.873490327,2828211.8657595
"406","BH37",2019,1,5,580890.375699398,2828177.70164555
"407","BH37",2019,2,5,580820.829039905,2828196.3366168
"408","BH37",2019,3,4,580762.873490327,2828211.8657595
"409","BH37",2020,1,4,580890.375699398,2828177.70164555
"410","BH37",2020,2,4,580820.829039905,2828196.3366168
"411","BH37",2020,3,5,580762.873490327,2828211.8657595
"412","BH37",2021,1,5,580890.375699398,2828177.70164555
"413","BH37",2021,2,4,580820.829039905,2828196.3366168
"414","BH37",2021,3,5,580762.873490327,2828211.8657595
"415","BH37",2022,1,5,580890.375699398,2828177.70164555
"416","BH37",2022,2,5,580820.829039905,2828196.3366168
"417","BH37",2022,3,5,580762.873490327,2828211.8657595
"418","BH37",2023,1,5,580890.375699398,2828177.70164555
"419","BH37",2023,2,5,580820.829039905,2828196.3366168
"420","BH37",2023,3,5,580762.873490327,2828211.8657595
"421","BH39",2009,1,5,569902.276326293,2823973.58915746
"422","BH39",2009,2,5,569928.321837359,2823995.44393619
"423","BH39",2009,3,5,569966.624059515,2824027.58331668
"424","BH39",2010,1,4,569902.276326293,2823973.58915746
"425","BH39",2010,2,4,569928.321837359,2823995.44393619
"426","BH39",2010,3,4,569966.624059515,2824027.58331668
"427","BH39",2011,1,4,569902.276326293,2823973.58915746
"428","BH39",2011,2,4,569928.321837359,2823995.44393619
"429","BH39",2011,3,4,569966.624059515,2824027.58331668
"430","BH39",2012,1,4,569902.276326293,2823973.58915746
"431","BH39",2012,2,5,569928.321837359,2823995.44393619
"432","BH39",2012,3,4,569966.624059515,2824027.58331668
"433","BH39",2013,1,5,569902.276326293,2823973.58915746
"434","BH39",2013,2,5,569928.321837359,2823995.44393619
"435","BH39",2013,3,5,569966.624059515,2824027.58331668
"436","BH39",2014,1,4,569902.276326293,2823973.58915746
"437","BH39",2014,2,3,569928.321837359,2823995.44393619
"438","BH39",2014,3,5,569966.624059515,2824027.58331668
